,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Coquimbo,CL,-29.9533,-71.3436,56.93,88,100,3.44,overcast clouds
79,Husavik,IS,66.0449,-17.3389,44.24,77,34,4.76,scattered clouds
80,Cedar City,US,37.6775,-113.0619,58.39,18,0,9.22,clear sky
81,Srednekolymsk,RU,67.45,153.6833,20.25,77,97,3.06,overcast clouds
82,Tura,IN,25.5198,90.2201,71.17,89,94,2.01,overcast clouds
83,Genhe,CN,50.7833,121.5167,38.43,38,11,8.81,few clouds
84,Teluknaga,ID,-6.0989,106.6381,88.18,94,20,3.44,few clouds
85,Mareeba,AU,-17.0,145.4333,76.48,87,88,7.07,overcast clouds
86,Bilma,NE,18.6853,12.9164,86.27,6,41,5.91,scattered clouds
87,Port Moresby,PG,-9.4431,147.1797,83.84,69,100,8.7,overcast clouds
88,Caravelas,BR,-17.7125,-39.2481,74.52,83,0,2.75,clear sky
89,Chuy,UY,-33.6971,-53.4616,51.28,75,14,3.56,few clouds
90,Faanui,PF,-16.4833,-151.75,81.01,73,18,17.07,light rain
91,Yellowknife,CA,62.456,-114.3525,35.56,51,11,5.99,few clouds
92,Ulladulla,AU,-35.35,150.4667,64.76,72,100,8.3,light rain
93,Yuanping,CN,38.7153,112.7575,50.52,15,100,13.6,overcast clouds
94,Kodiak,US,57.79,-152.4072,42.31,81,100,31.07,light rain
95,Albany,US,42.6001,-73.9662,48.88,29,0,9.6,clear sky
96,Butaritari,KI,3.0707,172.7902,81.43,76,68,10.65,broken clouds
97,Hilo,US,19.7297,-155.09,80.28,82,75,12.66,broken clouds
98,Zabid,YE,14.1951,43.3152,81.79,78,13,4.03,few clouds
99,Susanville,US,40.4163,-120.653,67.66,28,0,7.0,clear sky
100,Pacific Grove,US,36.6177,-121.9166,69.89,63,0,9.22,clear sky
101,Sitka,US,57.0531,-135.33,49.89,62,75,4.61,broken clouds
102,Saskylakh,RU,71.9167,114.0833,33.84,100,100,8.55,overcast clouds
103,Chokurdakh,RU,70.6333,147.9167,18.32,90,16,10.02,few clouds
104,Itarema,BR,-2.9248,-39.9167,76.98,86,99,7.76,overcast clouds
105,Miri,MY,4.4148,114.0089,78.96,89,94,3.62,light rain
106,Damghan,IR,36.1683,54.348,71.1,39,100,4.0,overcast clouds
107,Nome,US,64.5011,-165.4064,42.87,61,0,17.27,clear sky
108,Malanje,AO,-9.5402,16.341,62.91,90,85,3.49,overcast clouds
109,Cabo San Lucas,MX,22.8909,-109.9124,86.18,26,0,14.97,clear sky
110,Belaya Gora,RU,68.5333,146.4167,22.12,83,78,5.88,broken clouds
111,Snezhnogorsk,RU,69.1933,33.2531,24.58,82,100,20.07,overcast clouds
112,Yeniseysk,RU,58.4497,92.1703,55.09,83,74,4.41,broken clouds
113,Vaini,TO,-21.2,-175.2,75.36,100,100,5.75,moderate rain
114,Tubigon,PH,10.504,123.2736,78.3,75,100,5.75,overcast clouds
115,Beloha,MG,-25.1667,45.05,63.45,81,0,8.81,clear sky
116,Heihe,CN,50.2441,127.4902,48.78,36,100,21.85,overcast clouds
117,Grand Gaube,MU,-20.0064,57.6608,73.38,75,5,1.01,clear sky
118,Balkhash,KZ,46.844,74.9804,54.95,46,100,13.49,overcast clouds
119,Tasiilaq,GL,65.6145,-37.6368,28.99,88,46,8.48,scattered clouds
120,Capaci,IT,38.1711,13.2393,59.25,74,20,4.61,few clouds
121,Pangai,TO,-19.8,-174.35,78.91,89,100,11.5,light intensity shower rain
122,Ushtobe,KZ,45.2514,77.9838,59.97,25,100,4.79,overcast clouds
123,Moose Factory,CA,51.2585,-80.6094,33.26,85,12,5.59,few clouds
124,Trat,TH,12.5,102.5,83.88,87,100,0.47,overcast clouds
125,Bethel,US,41.3712,-73.414,54.48,48,0,6.51,clear sky
126,Bonavista,CA,48.6499,-53.1147,34.86,99,100,9.57,overcast clouds
127,Saint George,US,37.1041,-113.5841,77.63,13,0,16.11,clear sky
128,Doctor Arroyo,MX,23.6667,-100.1833,78.89,22,90,3.06,overcast clouds
129,Teguise,ES,29.0605,-13.564,61.02,82,0,16.11,clear sky
130,Atambua,ID,-9.1061,124.8925,81.55,61,100,0.58,overcast clouds
131,Frolovo,RU,49.7713,43.6622,48.63,60,96,1.52,overcast clouds
132,Manggar,ID,-2.8833,108.2667,83.1,74,88,1.07,overcast clouds
133,Lebu,CL,-37.6167,-73.65,49.91,75,0,16.69,clear sky
134,Reconquista,AR,-29.15,-59.65,55.65,64,59,9.69,broken clouds
135,Ribeira Grande,PT,38.5167,-28.7,62.15,87,9,16.75,clear sky
