City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Roald,NO,44.76,scattered clouds,62.5833,6.1333,Flem Cabins
510,Nybro,SE,41.81,overcast clouds,56.7446,15.9071,Stora Hotellet I Nybro
517,Issoudun,FR,48.85,clear sky,47.0,1.8333,
531,Whitehorse,CA,41.81,shower rain,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
532,Margate,GB,46.87,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
534,Bobcaygeon,CA,45.68,clear sky,44.5462,-78.542,The Bobcaygeon Inn And The Royal Moose Grill & Waterfront Patio
539,Kamaishi,JP,47.14,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
540,Abay,KZ,48.58,overcast clouds,49.6311,72.8539,Guest House on Abaya 144
562,Bay Roberts,CA,42.51,overcast clouds,47.5999,-53.2648,Stonewall Inn
574,Quimper,FR,48.78,clear sky,48.0,-4.1,Hôtel Oceania Quimper
583,Sargatskoye,RU,49.86,scattered clouds,55.6101,73.4972,Kvartira Posutochno V Sargatke
589,Saint-Denis,FR,48.69,few clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
597,Atherton,GB,45.21,few clouds,53.5237,-2.4935,The Mercury Motel
604,Ulagan,RU,48.6,overcast clouds,50.6321,87.9563,Gostevoy Dom
606,Gistel,BE,47.01,broken clouds,51.1495,2.9494,Bed & Breakfast Spoor 62
609,San Jeronimo,PE,46.9,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
611,Suntar,RU,41.86,overcast clouds,62.1444,117.6319,Гостевая квартира
626,Fort Nelson,CA,45.99,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
634,Raudeberg,NO,41.67,few clouds,61.9875,5.1352,Nordre Silda.
646,Yamada,JP,48.24,clear sky,39.4667,141.95,Iroha-ya Inn
652,Maldonado,UY,45.79,clear sky,-34.6667,-54.9167,La Cimarrona
655,Orcotuna,PE,44.91,broken clouds,-11.9667,-75.3333,Casavalle
664,Khani,GE,45.97,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
678,Rawson,AR,48.6,few clouds,-43.3002,-65.1023,Hosteria Sampedro
683,Asau,RO,41.95,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
684,Linjiang,CN,49.14,overcast clouds,41.8069,126.9078,格林豪泰
